# Angle	O-O-O	O-Si-O	Si-O-Si	Si-Si-Si
130.16	0.00893	0.00049	0.01547	0.01021
130.39	0.00869	0.00057	0.01466	0.00971
130.61	0.00884	0.00049	0.01643	0.00938
130.84	0.00867	0.00041	0.01558	0.00934
131.06	0.00886	0.00031	0.01625	0.00940
131.29	0.00890	0.00029	0.01644	0.00961
131.51	0.00894	0.00030	0.01618	0.00911
131.74	0.00892	0.00029	0.01756	0.00866
131.96	0.00898	0.00030	0.01817	0.00859
132.19	0.00891	0.00016	0.01785	0.00876
132.41	0.00920	0.00018	0.01837	0.00922
132.64	0.00902	0.00017	0.01783	0.00890
132.86	0.00912	0.00017	0.01812	0.00851
133.09	0.00905	0.00015	0.01884	0.00831
133.31	0.00895	0.00012	0.01920	0.00831
133.54	0.00908	0.00013	0.01940	0.00810
133.76	0.00904	0.00019	0.01960	0.00789
133.99	0.00910	0.00008	0.01983	0.00798
134.21	0.00892	0.00013	0.02058	0.00776
134.44	0.00909	0.00011	0.01906	0.00724
134.66	0.00904	0.00010	0.01999	0.00759
134.89	0.00926	0.00011	0.02000	0.00726
135.11	0.00898	0.00008	0.02138	0.00750
135.34	0.00920	0.00008	0.02079	0.00763
135.56	0.00899	0.00006	0.02119	0.00677
135.79	0.00915	0.00009	0.02100	0.00693
136.01	0.00911	0.00008	0.02217	0.00685
136.24	0.00913	0.00006	0.02284	0.00661
136.46	0.00891	0.00007	0.02188	0.00684
136.69	0.00899	0.00004	0.02336	0.00649
136.91	0.00903	0.00003	0.02184	0.00650
137.14	0.00916	0.00003	0.02296	0.00625
137.36	0.00919	0.00006	0.02273	0.00647
137.59	0.00899	0.00006	0.02342	0.00612
137.81	0.00910	0.00003	0.02314	0.00616
138.04	0.00902	0.00004	0.02295	0.00576
138.26	0.00880	0.00002	0.02372	0.00577
138.49	0.00898	0.00005	0.02371	0.00611
138.71	0.00897	0.00001	0.02313	0.00607
138.94	0.00904	0.00002	0.02465	0.00574
139.16	0.00881	0.00002	0.02364	0.00546
139.39	0.00878	0.00001	0.02502	0.00548
139.61	0.00881	0.00001	0.02322	0.00514
139.84	0.00888	0.00000	0.02429	0.00523
140.06	0.00875	0.00001	0.02345	0.00534
140.29	0.00869	0.00001	0.02347	0.00501
140.51	0.00888	0.00003	0.02410	0.00504
140.74	0.00863	0.00001	0.02484	0.00486
140.96	0.00876	0.00000	0.02518	0.00488
141.19	0.00871	0.00002	0.02451	0.00475
141.41	0.00869	0.00001	0.02408	0.00496
141.64	0.00865	0.00000	0.02505	0.00483
141.86	0.00853	0.00001	0.02525	0.00467
142.09	0.00865	0.00000	0.02523	0.00464
142.31	0.00857	0.00001	0.02389	0.00455
142.54	0.00839	0.00000	0.02566	0.00438
142.76	0.00835	0.00000	0.02464	0.00454
142.99	0.00847	0.00000	0.02440	0.00420
143.21	0.00823	0.00001	0.02552	0.00424
143.44	0.00851	0.00002	0.02435	0.00401
143.66	0.00844	0.00001	0.02573	0.00405
143.89	0.00827	0.00000	0.02518	0.00385
144.11	0.00827	0.00000	0.02555	0.00392
144.34	0.00821	0.00001	0.02561	0.00348
144.56	0.00828	0.00001	0.02489	0.00370
144.79	0.00830	0.00000	0.02584	0.00352
145.01	0.00811	0.00000	0.02552	0.00355
145.24	0.00811	0.00000	0.02486	0.00344
145.46	0.00801	0.00000	0.02537	0.00347
145.69	0.00788	0.00000	0.02646	0.00336
145.91	0.00796	0.00001	0.02626	0.00338
146.14	0.00795	0.00000	0.02469	0.00325
146.36	0.00789	0.00001	0.02495	0.00330
146.59	0.00777	0.00000	0.02502	0.00327
146.81	0.00785	0.00001	0.02585	0.00284
147.04	0.00778	0.00000	0.02558	0.00321
147.26	0.00785	0.00000	0.02534	0.00296
147.49	0.00761	0.00000	0.02479	0.00282
147.71	0.00753	0.00000	0.02563	0.00304
147.94	0.00760	0.00000	0.02466	0.00265
148.16	0.00764	0.00000	0.02509	0.00248
