# r	O-Si	O-O	Si-Si	total
4.51875	0.68763	1.25908	1.19980	1.03326
4.53125	0.68076	1.28139	1.22686	1.04457
4.54375	0.67023	1.29961	1.22943	1.05055
4.55625	0.66168	1.29520	1.23058	1.04492
4.56875	0.65106	1.31620	1.22248	1.05163
4.58125	0.64444	1.34060	1.25500	1.06456
4.59375	0.63953	1.34563	1.22279	1.06315
4.60625	0.64045	1.37762	1.21442	1.08029
4.61875	0.63819	1.38523	1.19980	1.08253
4.63125	0.64614	1.38363	1.21508	1.08580
4.64375	0.63333	1.39454	1.21576	1.08680
4.65625	0.63385	1.40513	1.24019	1.09444
4.66875	0.63468	1.41165	1.21122	1.09629
4.68125	0.63293	1.44841	1.24527	1.11793
4.69375	0.63021	1.44257	1.20782	1.11110
4.70625	0.63038	1.44498	1.19107	1.11131
4.71875	0.63278	1.44712	1.22574	1.11581
4.73125	0.63091	1.45748	1.22987	1.12100
4.74375	0.62263	1.45986	1.21631	1.11813
4.75625	0.63482	1.46381	1.19455	1.12350
4.76875	0.62745	1.47315	1.22176	1.12759
4.78125	0.63930	1.46868	1.19802	1.12812
4.79375	0.63806	1.47652	1.19374	1.13159
4.80625	0.63599	1.47394	1.20826	1.13040
4.81875	0.63516	1.46727	1.23090	1.12803
4.83125	0.65054	1.44764	1.19228	1.12066
4.84375	0.64640	1.47618	1.20445	1.13539
4.85625	0.64104	1.45125	1.18941	1.11874
4.86875	0.64073	1.46598	1.19297	1.12686
4.88125	0.65080	1.44629	1.20061	1.12061
4.89375	0.65419	1.43114	1.19192	1.11310
4.90625	0.66356	1.44880	1.19503	1.12654
4.91875	0.67207	1.43713	1.18812	1.12303
4.93125	0.66976	1.41387	1.18396	1.10922
4.94375	0.67789	1.40899	1.19472	1.11047
4.95625	0.68646	1.40689	1.19186	1.11246
4.96875	0.68836	1.39709	1.16698	1.10615
4.98125	0.69208	1.38662	1.17185	1.10225
4.99375	0.68866	1.39248	1.16550	1.10367
5.00625	0.70844	1.36930	1.14352	1.09723
5.01875	0.71218	1.36317	1.14628	1.09556
5.03125	0.71903	1.37273	1.15465	1.10398
5.04375	0.71962	1.34001	1.17580	1.08791
5.05625	0.73486	1.32471	1.13846	1.08294
5.06875	0.74330	1.31930	1.15403	1.08436
5.08125	0.74793	1.30045	1.13695	1.07474
5.09375	0.74805	1.28415	1.13438	1.06576
5.10625	0.76334	1.28928	1.13526	1.07454
5.11875	0.77167	1.27105	1.13019	1.06753
5.13125	0.78703	1.26315	1.14303	1.07009
5.14375	0.78831	1.23816	1.13145	1.05622
5.15625	0.78822	1.22324	1.12074	1.04735
5.16875	0.79640	1.22893	1.11716	1.05336
5.18125	0.80006	1.20121	1.12062	1.03998
5.19375	0.81248	1.19312	1.09658	1.03874
5.20625	0.83473	1.17695	1.11079	1.03959
5.21875	0.83468	1.15374	1.09736	1.02604
5.23125	0.84423	1.15833	1.09601	1.03214
5.24375	0.85479	1.13042	1.09421	1.02097
5.25625	0.85946	1.10746	1.06606	1.00837
5.26875	0.87348	1.09868	1.07413	1.00960
5.28125	0.88123	1.08325	1.05453	1.00288
5.29375	0.88923	1.07070	1.06853	1.00014
5.30625	0.91032	1.05287	1.06190	0.99819
5.31875	0.91537	1.04294	1.04491	0.99358
5.33125	0.92865	1.03291	1.02001	0.99156
5.34375	0.93677	1.02257	1.04849	0.99108
5.35625	0.95098	1.00030	1.03832	0.98380
5.36875	0.95478	0.98819	1.02838	0.97802
